name,address,lat,lng,maps_url,price_per_person_usd,price_tier,cuisine_primary,cuisine_tags,must_try_dishes,dietary_friendly,best_for,vibe,noise_level,dress_code,best_time_slots,avg_wait_minutes,reservation_needed,parking_difficulty,instagrammable_score,hidden_gem_score,value_score,crowd_typical_zh,crowd_typical_en,one_liner_zh,one_liner_en,avoid_if_zh,avoid_if_en,cuisine_tags_str,must_try_dishes_str,dietary_friendly_str,best_for_str,best_time_slots_str
Animal,"435 N Fairfax Ave, Los Angeles, CA 90036",34.0813,-118.3614,https://www.google.com/maps/place/Animal,75,$$$,American,"['american', 'meat', 'fairfax', 'creative']","['Pig Ear', 'Foie Gras Biscuit', 'Bacon Chocolate Crunch Bar']",[],"['date', 'friends_group', 'celebration']",trendy,loud,casual,"['dinner', 'late_night']",30,recommended,hard,8,4,7,年轻美食爱好者和潮人,Young food enthusiasts and trendy crowd,创意美式料理，肉食爱好者天堂,"Creative American cuisine, a paradise for meat lovers",不吃肉或讨厌嘈杂,Avoid if you dislike meat or loud environments,american | meat | fairfax | creative,Pig Ear | Foie Gras Biscuit | Bacon Chocolate Crunch Bar,,date | friends_group | celebration,dinner | late_night
Eggslut,"317 S Broadway, Los Angeles, CA 90013",34.0506,-118.2484,https://www.google.com/maps/place/Eggslut,15,$,American,"['breakfast', 'brunch', 'egg', 'sandwich']","['Slut', 'Fairfax', 'Bacon, Egg & Cheese']",[],"['breakfast', 'tourist_must', 'friends_group']",lively,moderate,casual,"['breakfast', 'brunch']",30,no,hard,8,5,7,游客和当地年轻人,Tourists and local young adults,必尝创意蛋三明治，早午餐首选,Creative egg sandwiches that are a must-try for breakfast or brunch.,不喜欢排队,Avoid if you dislike waiting in line.,breakfast | brunch | egg | sandwich,"Slut | Fairfax | Bacon, Egg & Cheese",,breakfast | tourist_must | friends_group,breakfast | brunch
n/naka,"3455 S Overland Ave, Los Angeles, CA 90034",34.0244,-118.4128,https://www.google.com/maps/place/n+naka,250,$$$$,Japanese,"['kaiseki', 'modern', 'japanese', 'fine_dining']","['Abalone with Truffle', 'A5 Wagyu Beef', 'Sashimi Platter']",['vegetarian'],"['date', 'celebration', 'business_lunch']",fine_dining,quiet,upscale,['dinner'],0,essential,moderate,8,4,8,高端食客和美食爱好者,High-end diners and culinary enthusiasts,体验精致怀石料理，预约必不可少,Experience exquisite kaiseki dining — reservations are a must,不想穿正装或预算有限,Avoid if you dislike dressing up or have a tight budget,kaiseki | modern | japanese | fine_dining,Abalone with Truffle | A5 Wagyu Beef | Sashimi Platter,vegetarian,date | celebration | business_lunch,dinner
Gjelina,"1429 Abbot Kinney Blvd, Venice, CA 90291",33.9911,-118.4644,https://www.google.com/maps/place/Gjelina,75,$$$,Mediterranean,"['california', 'farm_to_table', 'seasonal', 'venice']","['Duck Confit Pizza', 'Grilled Octopus', 'Roasted Cauliflower']","['vegetarian', 'vegan']","['date', 'friends_group', 'tourist_must']",trendy,moderate,smart_casual,"['brunch', 'lunch', 'dinner']",30,recommended,hard,8,4,7,潮人和游客聚集的热门餐厅,A hotspot for trendy locals and tourists alike.,威尼斯潮流餐厅，必试鸭肉披萨。,Venice's trendy eatery — the duck confit pizza is a must-try.,不喜欢嘈杂环境,Avoid if you dislike bustling atmospheres.,california | farm_to_table | seasonal | venice,Duck Confit Pizza | Grilled Octopus | Roasted Cauliflower,vegetarian | vegan,date | friends_group | tourist_must,brunch | lunch | dinner
Jon and Vinnys,"412 N Fairfax Ave, Los Angeles, CA 90036",34.0808,-118.3614,https://www.google.com/maps/place/Jon+and+Vinnys,45,$$,Italian,"['italian', 'pizza', 'casual', 'fairfax']","['LA Woman Pizza', 'Spaghetti Bolognese', 'Fusilli alla Vodka']",['vegetarian'],"['friends_group', 'date', 'tourist_must']",lively,moderate,casual,"['lunch', 'dinner']",30,recommended,moderate,8,5,8,年轻潮人和美食爱好者,Young trendsetters and food enthusiasts,Fairfax 的意式美食胜地，必试披萨,Fairfax's Italian hotspot with must-try pizzas,不喜欢热闹氛围,Avoid if you dislike lively atmospheres,italian | pizza | casual | fairfax,LA Woman Pizza | Spaghetti Bolognese | Fusilli alla Vodka,vegetarian,friends_group | date | tourist_must,lunch | dinner
Bestia,"2121 E 7th Pl, Los Angeles, CA 90021",34.0339,-118.2363,https://www.google.com/maps/place/Bestia,95,$$$,Italian,"['italian', 'california', 'modern']","['Cavatelli alla Norcina', 'Bone Marrow', 'Roasted Marrow Tortelli']",['vegetarian'],"['date', 'celebration', 'friends_group']",trendy,loud,smart_casual,['dinner'],45,essential,hard,9,3,7,DTLA 时髦白领与游客,DTLA fashionable professionals and food tourists,DTLA 工业风网红意餐，骨髓塔塔必点,DTLA's industrial-chic Italian darling — bone marrow is non-negotiable,赶时间或没提前订位,Skip if you're in a rush or don't have a reservation,italian | california | modern,Cavatelli alla Norcina | Bone Marrow | Roasted Marrow Tortelli,vegetarian,date | celebration | friends_group,dinner
Langers Deli,"704 S Alvarado St, Los Angeles, CA 90057",34.0627,-118.2789,https://www.google.com/maps/place/Langers+Deli,30,$$,American,"['deli', 'pastrami', 'classic']","['Pastrami Sandwich', 'Matzo Ball Soup', 'Reuben Sandwich']",[],"['family', 'solo', 'tourist_must']",casual,moderate,casual,"['lunch', 'dinner']",20,no,moderate,6,5,8,当地居民和游客,Local residents and tourists,经典美式熟食店，必尝熏牛肉三明治,Classic American deli with a must-try pastrami sandwich,不喜欢熏牛肉,Avoid if you dislike pastrami,deli | pastrami | classic,Pastrami Sandwich | Matzo Ball Soup | Reuben Sandwich,,family | solo | tourist_must,lunch | dinner
Jitlada,"5233 W Sunset Blvd, Los Angeles, CA 90027",34.0978,-118.3061,https://www.google.com/maps/place/Jitlada,40,$$,Thai,"['thai', 'spicy', 'authentic', 'hollywood']","['Khua Kling Phat Tha Lung', 'Pla Tod Rad Prik', 'Tom Yum Koong']",['vegetarian'],"['friends_group', 'tourist_must', 'date']",lively,moderate,casual,"['dinner', 'late_night']",30,recommended,moderate,7,5,8,喜欢辣味的美食爱好者,Spice-loving food enthusiasts and adventurous diners,好莱坞正宗泰餐，辣味挑战极限,Authentic Thai in Hollywood — a spice lover's paradise,不爱吃辣或怕等位,Avoid if you dislike spicy food or waiting,thai | spicy | authentic | hollywood,Khua Kling Phat Tha Lung | Pla Tod Rad Prik | Tom Yum Koong,vegetarian,friends_group | tourist_must | date,dinner | late_night
Sushi Gen,"422 E 2nd St, Los Angeles, CA 90012",34.0473,-118.2418,https://www.google.com/maps/place/Sushi+Gen,60,$$$,Japanese,"['japanese', 'sushi', 'little_tokyo']","['Sashimi Deluxe', 'Yellowtail Nigiri', 'Uni Sushi']",['gluten_free'],"['date', 'tourist_must', 'friends_group']",casual,moderate,casual,"['lunch', 'dinner']",30,recommended,moderate,7,6,8,日本料理爱好者和游客,Japanese cuisine enthusiasts and tourists,小东京寿司名店，生鱼片套餐必试,Little Tokyo's sushi hotspot — don't miss the sashimi deluxe,不喜欢生鱼片,Avoid if you dislike sashimi,japanese | sushi | little_tokyo,Sashimi Deluxe | Yellowtail Nigiri | Uni Sushi,gluten_free,date | tourist_must | friends_group,lunch | dinner
Yucas Hut,"2056 Hillhurst Ave, Los Angeles, CA 90027",34.1078,-118.2842,https://www.google.com/maps/place/Yucas+Hut,12,$,Mexican,"['mexican', 'taco', 'casual']","['Carne Asada Burrito', 'Yucas Tacos', 'Chorizo Quesadilla']",[],"['solo', 'friends_group', 'tourist_must']",casual,moderate,casual,"['lunch', 'dinner']",10,no,moderate,6,8,9,当地居民和游客,Local residents and tourists enjoying casual Mexican fare,洛杉矶必试墨西哥小吃，价格亲民,A must-try spot for affordable Mexican bites in LA,不喜欢露天用餐,Avoid if you dislike outdoor seating,mexican | taco | casual,Carne Asada Burrito | Yucas Tacos | Chorizo Quesadilla,,solo | friends_group | tourist_must,lunch | dinner
Gjusta,"320 Sunset Ave, Venice, CA 90291",33.9925,-118.4641,https://www.google.com/maps/place/Gjusta,35,$$,Bakery,"['bakery', 'café', 'venice', 'artisanal']","['Smoked Fish Plate', 'Bialy Egg Sandwich', 'Baklava Croissant']",['vegetarian'],"['brunch', 'friends_group', 'tourist_must']",trendy,moderate,casual,"['breakfast', 'brunch', 'lunch']",20,no,hard,8,5,7,威尼斯的时尚游客和当地人,Trendy tourists and locals in Venice,威尼斯必去的时尚面包店，享受美味早餐,A must-visit trendy bakery in Venice for a delicious breakfast,不喜欢排队或找车位,Avoid if you dislike lines or parking challenges,bakery | café | venice | artisanal,Smoked Fish Plate | Bialy Egg Sandwich | Baklava Croissant,vegetarian,brunch | friends_group | tourist_must,breakfast | brunch | lunch
Guelaguetza,"3014 W Olympic Blvd, Los Angeles, CA 90006",34.0459,-118.3003,https://www.google.com/maps/place/Guelaguetza,40,$$,Mexican,"['oaxacan', 'mexican', 'mole', 'koreatown']","['Mole Negro', 'Tlayuda', 'Chapulines']",['vegetarian'],"['family', 'friends_group', 'tourist_must']",lively,moderate,casual,"['lunch', 'dinner']",20,recommended,moderate,7,6,8,热爱墨西哥美食的家庭和游客,Families and tourists who love authentic Mexican cuisine,品尝正宗瓦哈卡风味，墨西哥美食爱好者的天堂,"Experience authentic Oaxacan flavors, a paradise for Mexican food lovers",不喜欢热闹氛围,Avoid if you dislike lively atmospheres,oaxacan | mexican | mole | koreatown,Mole Negro | Tlayuda | Chapulines,vegetarian,family | friends_group | tourist_must,lunch | dinner
Sun Nong Dan,"3470 W 6th St, Los Angeles, CA 90020",34.0625,-118.3008,https://www.google.com/maps/place/Sun+Nong+Dan,30,$$,Korean,"['korean', 'bbq', 'late_night']","['갈비찜', '설렁탕', '육개장']",[],"['friends_group', 'late_night', 'tourist_must']",lively,loud,casual,"['dinner', 'late_night']",30,no,moderate,6,5,8,年轻人和韩国料理爱好者,Young crowd and Korean food enthusiasts,深夜韩式美食，必尝牛肉炖汤,"Late-night Korean gem, don't miss the braised beef soup",不喜欢嘈杂环境,Avoid if you dislike noisy environments,korean | bbq | late_night,갈비찜 | 설렁탕 | 육개장,,friends_group | late_night | tourist_must,dinner | late_night
KazuNori,"421 S Main St, Los Angeles, CA 90013",34.0481,-118.2486,https://www.google.com/maps/place/KazuNori,30,$$,Japanese,"['japanese', 'sushi', 'hand_rolls']","['Toro Hand Roll', 'Crab Hand Roll', 'Salmon Hand Roll']",[],"['solo', 'friends_group', 'tourist_must']",casual,moderate,casual,"['lunch', 'dinner']",20,no,moderate,7,5,8,年轻人和寿司爱好者,Young crowd and sushi enthusiasts,寿司手卷的最佳选择，简单又美味,The go-to spot for hand rolls — simple yet delicious,不喜欢寿司手卷,Avoid if you dislike sushi hand rolls,japanese | sushi | hand_rolls,Toro Hand Roll | Crab Hand Roll | Salmon Hand Roll,,solo | friends_group | tourist_must,lunch | dinner
The Apple Pan,"10801 W Pico Blvd, Los Angeles, CA 90064",34.0376,-118.4367,https://www.google.com/maps/place/The+Apple+Pan,20,$,American,"['burger', 'classic', 'diner']","['Hickory Burger', 'Apple Pie']",[],"['solo', 'friends_group', 'tourist_must']",dive,moderate,casual,"['lunch', 'dinner']",15,no,moderate,6,8,8,怀旧汉堡迷和游客,Nostalgic burger lovers and tourists,经典汉堡店，苹果派不可错过,Classic burger joint — don't miss the apple pie,不喜欢简单汉堡,Avoid if you dislike simple burgers,burger | classic | diner,Hickory Burger | Apple Pie,,solo | friends_group | tourist_must,lunch | dinner
The Bazaar by Jose Andres,"465 S La Cienega Blvd, Los Angeles, CA 90048",34.07,-118.3764,https://www.google.com/maps/place/The+Bazaar,150,$$$$,Spanish,"['spanish', 'tapas', 'modern', 'celebrity_chef']","['Spherical Olive', 'Cotton Candy Foie Gras', 'Patatas Bravas']",['vegetarian'],"['date', 'celebration', 'tourist_must']",trendy,moderate,upscale,['dinner'],30,essential,moderate,10,4,6,时尚达人与美食爱好者,Fashion-forward diners and culinary enthusiasts,体验西班牙创意美食，视觉与味觉的盛宴,"Experience Spanish culinary innovation, a feast for the senses",预算有限或不喜创意菜,Avoid if on a budget or dislike experimental cuisine,spanish | tapas | modern | celebrity_chef,Spherical Olive | Cotton Candy Foie Gras | Patatas Bravas,vegetarian,date | celebration | tourist_must,dinner
Grand Central Market,"317 S Broadway, Los Angeles, CA 90013",34.0506,-118.2484,https://www.google.com/maps/place/Grand+Central+Market,25,$$,Fusion,"['fusion', 'food_hall', 'downtown']","['Eggslut Fairfax Sandwich', 'Tacos from Tacos Tumbras a Tomas', 'Ramen from Ramen Hood']","['vegetarian', 'vegan', 'gluten_free']","['tourist_must', 'friends_group', 'solo']",lively,loud,casual,"['lunch', 'dinner', 'late_night']",20,no,hard,8,4,8,游客与当地美食爱好者,Tourists and local food enthusiasts exploring diverse flavors,体验多元美食的天堂，适合拍照打卡,A paradise of diverse cuisines perfect for Instagram moments,不喜欢人多嘈杂环境,Avoid if you dislike crowded and noisy places,fusion | food_hall | downtown,Eggslut Fairfax Sandwich | Tacos from Tacos Tumbras a Tomas | Ramen from Ramen Hood,vegetarian | vegan | gluten_free,tourist_must | friends_group | solo,lunch | dinner | late_night
Howlin Rays,"727 N Broadway, Los Angeles, CA 90012",34.0644,-118.2384,https://www.google.com/maps/place/Howlin+Rays,20,$,Southern American,"['southern', 'fried_chicken', 'spicy']","['Hot Chicken Sandwich', ""Howlin' Fries"", 'Nashville Hot Chicken']",[],"['friends_group', 'solo', 'tourist_must']",lively,loud,casual,"['lunch', 'dinner']",60,no,moderate,8,5,9,年轻人和游客排队尝鲜,Young locals and tourists lining up for a taste of spicy chicken.,洛杉矶最火辣的炸鸡体验，绝对值得排队！,LA's hottest fried chicken experience — absolutely worth the wait!,不喜欢排队或辣味,Avoid if you dislike waiting or spicy food.,southern | fried_chicken | spicy,Hot Chicken Sandwich | Howlin' Fries | Nashville Hot Chicken,,friends_group | solo | tourist_must,lunch | dinner
Rossoblu,"1124 San Julian St, Los Angeles, CA 90015",34.0392,-118.2553,https://www.google.com/maps/place/Rossoblu,85,$$$,Italian,"['italian', 'bolognese', 'downtown', 'modern']","['Tortellini in Brodo', 'Tagliatelle al Ragù', 'Grilled Pork Chop']",['vegetarian'],"['date', 'celebration', 'friends_group']",trendy,moderate,smart_casual,['dinner'],30,recommended,moderate,8,4,7,时尚的美食爱好者和约会情侣,Stylish food enthusiasts and couples on a date,意大利风情浓郁的现代餐厅，适合浪漫约会,"A modern Italian restaurant with rich flavors, perfect for a romantic date",不喜欢意大利面或肉类,Avoid if you dislike pasta or meat dishes,italian | bolognese | downtown | modern,Tortellini in Brodo | Tagliatelle al Ragù | Grilled Pork Chop,vegetarian,date | celebration | friends_group,dinner
Pinks Hot Dogs,"709 N La Brea Ave, Los Angeles, CA 90038",34.0833,-118.3447,https://www.google.com/maps/place/Pinks+Hot+Dogs,12,$,American,"['hot_dogs', 'american', 'casual']","['Chili Cheese Dog', 'Martha Stewart Dog', 'Lord of the Rings Dog']",[],"['tourist_must', 'friends_group', 'solo']",lively,moderate,casual,"['lunch', 'dinner', 'late_night']",30,no,moderate,7,5,8,游客和当地人热爱的小吃店,Beloved by tourists and locals alike for its iconic hot dogs.,洛杉矶必去的热狗店，体验经典美味,"A must-visit for classic hot dogs in LA, offering iconic flavors.",不喜欢排队或拥挤环境,Avoid if you dislike lines or crowded spaces.,hot_dogs | american | casual,Chili Cheese Dog | Martha Stewart Dog | Lord of the Rings Dog,,tourist_must | friends_group | solo,lunch | dinner | late_night
